order_id,customer_id,order_date,status
192,21,2024-03-03,completed
193,5,2024-03-25,completed
194,82,2024-02-01,completed
195,92,2024-03-27,completed
196,42,2024-02-02,completed
197,61,2024-03-07,completed
198,22,2024-01-18,completed
199,21,2024-01-25,cancelled
200,70,2024-02-23,completed
201,1,2024-02-27,completed
202,5,2024-03-07,completed
203,12,2024-02-15,pending
204,90,2024-01-24,cancelled
205,46,2024-02-01,completed
206,34,2024-02-16,completed
207,49,2024-03-26,completed
208,78,2024-01-23,completed
209,90,2024-03-06,cancelled
210,45,2024-01-27,completed
211,27,2024-01-02,completed
212,73,2024-03-30,completed
213,26,2024-01-17,completed
214,47,2024-02-02,completed
215,86,2024-01-09,cancelled
216,56,2024-02-12,cancelled
217,94,2024-02-17,completed
218,63,2024-02-08,completed
219,48,2024-02-11,completed
220,61,2024-01-26,completed
221,81,2024-02-19,completed
222,26,2024-01-25,completed
223,36,2024-01-24,cancelled
224,1,2024-01-13,completed
225,8,2024-02-29,completed
226,99,2024-01-07,completed
227,52,2024-02-26,completed
228,79,2024-02-05,completed
229,47,2024-02-14,completed
230,56,2024-01-20,completed
231,86,2024-03-05,completed
232,14,2024-01-08,completed
233,90,2024-01-16,completed
234,28,2024-01-14,completed
235,87,2024-03-16,completed
236,78,2024-03-27,completed
237,88,2024-01-15,completed
238,2,2024-03-06,completed
239,26,2024-02-01,completed
240,14,2024-03-27,completed
241,59,2024-03-03,completed
242,56,2024-03-26,pending
243,7,2024-02-20,completed
244,3,2024-01-25,completed
245,23,2024-02-27,completed
246,18,2024-03-03,completed
247,38,2024-03-02,pending
248,99,2024-01-22,completed
249,15,2024-02-27,completed
250,64,2024-02-27,completed
251,89,2024-03-26,completed
252,28,2024-02-18,completed
253,74,2024-02-21,pending
254,39,2024-02-11,completed
255,57,2024-03-10,completed
256,17,2024-01-15,cancelled
257,86,2024-02-23,completed
258,90,2024-02-29,completed
259,44,2024-01-08,completed
260,25,2024-02-22,cancelled
261,17,2024-02-29,completed
262,13,2024-01-05,completed
263,84,2024-03-08,completed
264,25,2024-01-06,completed
265,68,2024-02-16,completed
266,10,2024-02-24,completed
267,67,2024-02-09,completed
268,18,2024-02-21,completed
269,100,2024-01-16,completed
270,86,2024-01-13,completed
271,34,2024-01-30,completed
272,8,2024-01-19,completed
273,40,2024-01-17,completed
274,83,2024-03-03,completed
275,42,2024-01-19,completed
276,41,2024-02-27,completed
277,6,2024-02-24,pending
278,52,2024-03-30,completed
279,26,2024-03-30,completed
280,64,2024-03-02,completed
281,98,2024-01-23,cancelled
282,59,2024-01-09,completed
283,56,2024-01-12,completed
284,59,2024-01-01,completed
285,70,2024-02-27,completed
286,33,2024-01-01,cancelled
287,53,2024-02-03,completed
288,22,2024-02-17,completed
289,21,2024-03-29,completed
290,70,2024-01-01,cancelled
291,70,2024-01-16,pending
292,4,2024-03-01,completed
293,94,2024-03-04,cancelled
294,75,2024-03-03,cancelled
295,62,2024-03-09,completed
296,62,2024-01-22,completed
297,94,2024-03-07,completed
298,95,2024-03-16,pending
299,24,2024-01-26,completed
300,55,2024-01-16,pending
301,9,2024-02-20,completed
302,3,2024-03-26,completed
303,31,2024-02-26,completed
304,40,2024-01-29,completed
305,36,2024-03-18,cancelled
306,24,2024-03-09,pending
307,95,2024-02-16,pending
308,6,2024-03-02,completed
309,66,2024-03-09,completed
310,84,2024-03-16,completed
311,92,2024-01-16,completed
312,75,2024-03-30,completed
313,4,2024-03-30,completed
314,79,2024-02-17,completed
315,6,2024-03-25,completed
316,94,2024-02-08,cancelled
317,51,2024-02-02,pending
318,62,2024-01-23,completed
319,57,2024-01-10,completed
320,66,2024-03-09,completed
321,79,2024-02-03,completed
322,75,2024-02-21,pending
323,8,2024-01-10,pending
324,26,2024-01-19,completed
325,51,2024-02-27,completed
326,45,2024-01-01,completed
327,44,2024-03-09,completed
328,5,2024-01-04,completed
329,70,2024-01-16,pending
330,26,2024-01-24,completed
331,68,2024-03-20,completed
332,19,2024-01-02,cancelled
333,84,2024-02-01,completed
334,97,2024-03-24,completed
335,20,2024-01-24,completed
336,12,2024-01-12,completed
337,47,2024-02-19,completed
338,1,2024-02-04,completed
339,90,2024-02-02,completed
340,14,2024-02-02,cancelled
341,64,2024-03-01,completed
342,38,2024-02-20,pending
343,37,2024-02-12,cancelled
344,11,2024-01-12,completed
345,100,2024-03-07,pending
346,77,2024-03-05,completed
347,3,2024-02-02,cancelled
348,33,2024-02-09,completed
349,6,2024-03-14,completed
350,50,2024-02-12,completed
351,10,2024-02-13,pending
352,5,2024-01-29,completed
353,23,2024-01-13,completed
354,10,2024-01-12,pending
355,44,2024-02-15,completed
356,2,2024-01-02,completed
357,13,2024-02-04,completed
358,40,2024-03-27,completed
359,2,2024-03-21,completed
360,84,2024-03-30,cancelled
361,65,2024-01-08,completed
362,63,2024-01-26,completed
363,73,2024-03-14,completed
364,17,2024-03-30,pending
365,9,2024-02-03,cancelled
366,75,2024-01-07,completed
367,15,2024-03-08,pending
368,24,2024-02-27,completed
369,38,2024-03-15,pending
370,35,2024-01-29,completed
371,94,2024-02-05,cancelled
372,95,2024-03-29,completed
373,49,2024-01-21,completed
374,69,2024-02-05,completed
375,62,2024-01-10,completed
376,60,2024-03-13,completed
377,50,2024-01-24,completed
378,78,2024-03-04,completed
379,75,2024-02-18,completed
380,9,2024-02-05,completed
381,34,2024-03-22,completed
382,76,2024-01-24,completed
383,99,2024-01-23,pending
384,35,2024-03-02,completed
385,1,2024-02-06,completed
386,40,2024-01-12,completed
387,64,2024-02-24,completed
388,22,2024-01-13,pending
389,60,2024-01-23,completed
390,64,2024-03-29,completed
391,93,2024-01-30,completed
392,72,2024-01-17,completed
393,11,2024-03-02,completed
394,14,2024-03-24,completed
395,60,2024-03-29,cancelled
396,30,2024-03-26,completed
397,35,2024-01-13,completed
398,85,2024-02-28,completed
399,37,2024-01-19,completed
400,5,2024-02-18,completed
401,83,2024-01-12,completed
402,78,2024-03-01,pending
403,26,2024-01-19,cancelled
404,62,2024-03-16,completed
405,4,2024-01-09,completed
406,89,2024-03-11,completed
407,42,2024-01-28,completed
408,89,2024-03-18,completed
409,18,2024-02-21,completed
410,40,2024-03-23,pending
411,72,2024-01-16,completed
412,39,2024-03-09,pending
413,14,2024-01-12,completed
414,32,2024-01-25,completed
415,51,2024-02-21,completed
416,38,2024-03-25,completed
417,97,2024-02-22,cancelled
418,23,2024-01-23,completed
419,63,2024-01-16,pending
420,15,2024-02-26,completed
421,97,2024-02-08,pending
422,25,2024-02-22,completed
423,17,2024-02-11,pending
424,97,2024-02-27,completed
425,66,2024-02-08,completed
426,78,2024-01-14,completed
427,53,2024-01-05,pending
428,51,2024-02-04,cancelled
429,39,2024-03-27,completed
430,51,2024-03-15,completed
431,70,2024-01-18,cancelled
432,6,2024-03-16,pending
433,67,2024-01-09,cancelled
434,7,2024-03-14,completed
435,51,2024-02-27,completed
436,72,2024-01-17,completed
437,42,2024-01-07,completed
438,64,2024-02-15,completed
439,15,2024-01-13,completed
440,29,2024-02-09,completed
441,33,2024-02-11,pending
442,94,2024-01-09,completed
443,27,2024-02-19,completed
444,36,2024-01-27,completed
445,29,2024-03-06,completed
446,38,2024-01-05,completed
447,57,2024-01-29,completed
448,97,2024-02-06,completed
449,27,2024-02-07,completed
450,55,2024-03-23,completed
451,33,2024-01-08,completed
452,68,2024-03-05,completed
453,86,2024-03-26,completed
454,66,2024-01-17,completed
455,10,2024-03-11,cancelled
456,5,2024-03-29,cancelled
457,74,2024-02-14,completed
458,97,2024-01-04,completed
459,38,2024-02-05,completed
460,13,2024-03-10,completed
461,31,2024-01-31,completed
462,47,2024-01-19,completed
463,100,2024-03-01,completed
464,88,2024-02-23,completed
465,52,2024-02-08,completed
466,56,2024-03-14,completed
467,15,2024-03-30,completed
468,29,2024-01-19,completed
469,8,2024-02-08,completed
470,5,2024-03-07,cancelled
471,29,2024-02-14,completed
472,47,2024-01-13,completed
473,68,2024-02-27,completed
474,76,2024-01-20,completed
475,45,2024-03-12,cancelled
476,2,2024-03-01,completed
477,27,2024-02-08,completed
478,95,2024-01-01,completed
479,36,2024-01-03,cancelled
480,36,2024-03-17,cancelled
481,26,2024-03-02,completed
482,43,2024-03-03,completed
483,27,2024-01-25,completed
484,69,2024-02-25,completed
485,20,2024-02-02,completed
486,11,2024-02-07,completed
487,74,2024-01-06,completed
488,38,2024-02-27,completed
489,6,2024-02-13,completed
490,72,2024-02-14,completed
491,23,2024-02-01,cancelled
492,47,2024-02-14,completed
493,90,2024-03-01,completed
494,46,2024-02-16,pending
495,12,2024-01-21,completed
496,90,2024-03-20,pending
497,13,2024-03-25,completed
498,62,2024-03-15,completed
499,82,2024-02-05,cancelled
500,89,2024-01-19,completed
